scheduler_type, chunk_size, problem_size, time_1[s], time_2[s], time_3[s]
dynamic, 2048, 10000, 0.000102, 0.000102, 0.000102
dynamic, 2048, 1000, 0.000011, 0.000012, 0.000011
dynamic, 2048, 100, 0.000004, 0.000004, 0.000004
dynamic, 4096, 100000, 0.001067, 0.001060, 0.001073
dynamic, 4096, 10000, 0.000100, 0.000115, 0.000102
dynamic, 4096, 1000, 0.000011, 0.000012, 0.000012
dynamic, 4096, 100, 0.000003, 0.000003, 0.000004
guided, 1, 100000, 0.001065, 0.001061, 0.001061
guided, 1, 10000, 0.000101, 0.000102, 0.000114
guided, 1, 1000, 0.000012, 0.000011, 0.000012
guided, 1, 100, 0.000004, 0.000004, 0.000003
guided, 2, 100000, 0.001060, 0.001076, 0.001065
guided, 2, 10000, 0.000123, 0.000101, 0.000102
guided, 2, 1000, 0.000012, 0.000011, 0.000011
guided, 2, 100, 0.000003, 0.000004, 0.000003
guided, 4, 100000, 0.001059, 0.001065, 0.001066
guided, 4, 10000, 0.000102, 0.000102, 0.000101
guided, 4, 1000, 0.000012, 0.000011, 0.000011
guided, 4, 100, 0.000004, 0.000004, 0.000004
guided, 8, 100000, 0.001069, 0.001064, 0.001065
guided, 8, 10000, 0.000101, 0.000102, 0.000102
guided, 8, 1000, 0.000011, 0.000011, 0.000012
guided, 8, 100, 0.000004, 0.000004, 0.000004
guided, 16, 100000, 0.001061, 0.001067, 0.001067
guided, 16, 10000, 0.000101, 0.000101, 0.000101
guided, 16, 1000, 0.000012, 0.000012, 0.000011
guided, 16, 100, 0.000004, 0.000003, 0.000004
guided, 32, 100000, 0.001064, 0.001069, 0.001058
guided, 32, 10000, 0.000102, 0.000101, 0.000102
guided, 32, 1000, 0.000011, 0.000012, 0.000012
guided, 32, 100, 0.000004, 0.000004, 0.000003
guided, 64, 100000, 0.001079, 0.001095, 0.001063
guided, 64, 10000, 0.000103, 0.000104, 0.000101
guided, 64, 1000, 0.000011, 0.000012, 0.000012
guided, 64, 100, 0.000004, 0.000004, 0.000003
guided, 128, 100000, 0.001069, 0.001078, 0.001071
guided, 128, 10000, 0.000102, 0.000103, 0.000103
guided, 128, 1000, 0.000011, 0.000012, 0.000011
guided, 128, 100, 0.000004, 0.000004, 0.000003
guided, 256, 100000, 0.001075, 0.001062, 0.001075
guided, 256, 10000, 0.000101, 0.000102, 0.000102
guided, 256, 1000, 0.000011, 0.000012, 0.000012
guided, 256, 100, 0.000004, 0.000004, 0.000003
guided, 512, 100000, 0.001069, 0.001062, 0.001061
guided, 512, 10000, 0.000101, 0.000102, 0.000101
guided, 512, 1000, 0.000012, 0.000011, 0.000012
guided, 512, 100, 0.000004, 0.000004, 0.000004
guided, 1024, 100000, 0.001075, 0.001064, 0.001066
guided, 1024, 10000, 0.000101, 0.000101, 0.000102
guided, 1024, 1000, 0.000011, 0.000011, 0.000012
guided, 1024, 100, 0.000003, 0.000003, 0.000003
guided, 2048, 100000, 0.001063, 0.001060, 0.001077
guided, 2048, 10000, 0.000101, 0.000101, 0.000102
guided, 2048, 1000, 0.000011, 0.000011, 0.000011
guided, 2048, 100, 0.000004, 0.000004, 0.000004
guided, 4096, 100000, 0.001058, 0.001072, 0.001055
guided, 4096, 10000, 0.000102, 0.000101, 0.000102
guided, 4096, 1000, 0.000011, 0.000012, 0.000012
guided, 4096, 100, 0.000004, 0.000003, 0.000003
