scheduler_type, chunk_size, problem_size, time_1[s], time_2[s], time_3[s]
dynamic, 2, 10000000, 0.220499, 0.203448, 0.207899
dynamic, 2, 1000000, 0.024154, 0.021855, 0.021849
dynamic, 2, 100000, 0.002272, 0.002248, 0.002241
dynamic, 4, 253200000, 2.260280, 2.421658, 2.227834
dynamic, 4, 100000000, 0.878899, 0.876812, 0.932154
dynamic, 4, 10000000, 0.099825, 0.094495, 0.094036
dynamic, 4, 1000000, 0.010703, 0.010060, 0.010287
dynamic, 4, 100000, 0.001134, 0.001086, 0.001061
dynamic, 8, 253200000, 1.660046, 1.647749, 1.674599
dynamic, 8, 100000000, 0.652920, 0.659185, 0.662728
dynamic, 8, 10000000, 0.065961, 0.066572, 0.067745
dynamic, 8, 1000000, 0.007513, 0.007208, 0.007235
dynamic, 8, 100000, 0.000821, 0.000832, 0.000839
dynamic, 16, 253200000, 1.120702, 1.118091, 1.121476
dynamic, 16, 100000000, 0.443219, 0.442613, 0.442625
dynamic, 16, 10000000, 0.045405, 0.045639, 0.045735
dynamic, 16, 1000000, 0.005374, 0.005583, 0.005345
dynamic, 16, 100000, 0.000633, 0.000643, 0.000622
dynamic, 32, 253200000, 0.781752, 0.791025, 0.782772
dynamic, 32, 100000000, 0.313087, 0.305565, 0.312832
dynamic, 32, 10000000, 0.032290, 0.032007, 0.032194
dynamic, 32, 1000000, 0.004364, 0.005005, 0.003967
dynamic, 32, 100000, 0.000511, 0.000495, 0.000504
dynamic, 64, 253200000, 0.717938, 0.712163, 0.723449
dynamic, 64, 100000000, 0.288457, 0.282783, 0.284779
dynamic, 64, 10000000, 0.030242, 0.029499, 0.029771
dynamic, 64, 1000000, 0.004047, 0.003528, 0.003567
dynamic, 64, 100000, 0.000453, 0.000462, 0.000468
dynamic, 128, 253200000, 0.679116, 0.680030, 0.684235
dynamic, 128, 100000000, 0.270065, 0.270603, 0.270146
dynamic, 128, 10000000, 0.028041, 0.027219, 0.028488
dynamic, 128, 1000000, 0.003886, 0.003468, 0.003425
dynamic, 128, 100000, 0.000467, 0.000448, 0.000448
dynamic, 256, 253200000, 0.664174, 0.666240, 0.666409
dynamic, 256, 100000000, 0.264150, 0.263965, 0.264524
dynamic, 256, 10000000, 0.027602, 0.027501, 0.027336
dynamic, 256, 1000000, 0.003827, 0.003334, 0.003582
dynamic, 256, 100000, 0.000432, 0.000423, 0.000424
dynamic, 512, 253200000, 0.651256, 0.651003, 0.648663
dynamic, 512, 100000000, 0.257875, 0.258027, 0.257968
dynamic, 512, 10000000, 0.026463, 0.026751, 0.026370
dynamic, 512, 1000000, 0.003266, 0.002892, 0.002863
dynamic, 512, 100000, 0.000349, 0.000336, 0.000337
dynamic, 1024, 253200000, 0.645223, 0.645449, 0.645795
dynamic, 1024, 100000000, 0.255816, 0.255201, 0.255150
dynamic, 1024, 10000000, 0.026301, 0.026043, 0.026024
dynamic, 1024, 1000000, 0.002958, 0.002649, 0.002648
dynamic, 1024, 100000, 0.000282, 0.000279, 0.000280
dynamic, 2048, 253200000, 0.646758, 0.645244, 0.645412
dynamic, 2048, 100000000, 0.255301, 0.253439, 0.255482
dynamic, 2048, 10000000, 0.026118, 0.026110, 0.026096
dynamic, 2048, 1000000, 0.003060, 0.002655, 0.002639
dynamic, 2048, 100000, 0.000287, 0.000293, 0.000286
dynamic, 4096, 253200000, 0.639903, 0.647305, 0.646915
dynamic, 4096, 100000000, 0.255901, 0.256201, 0.256302
dynamic, 4096, 10000000, 0.026176, 0.026156, 0.026012
dynamic, 4096, 1000000, 0.002795, 0.003101, 0.002648
dynamic, 4096, 100000, 0.000287, 0.000297, 0.000286
dynamic, 8192, 253200000, 0.647746, 0.648218, 0.647968
dynamic, 8192, 100000000, 0.256248, 0.253118, 0.256279
dynamic, 8192, 10000000, 0.026040, 0.026060, 0.026250
dynamic, 8192, 1000000, 0.003117, 0.002642, 0.002648
dynamic, 8192, 100000, 0.000297, 0.000313, 0.000284
dynamic, 16384, 253200000, 0.646809, 0.637855, 0.647795
dynamic, 16384, 100000000, 0.255949, 0.256048, 0.256884
dynamic, 16384, 10000000, 0.026302, 0.026293, 0.025914
